9876543210|789|ХМАО|Роснефть|Петров А.В.|123-456789|2020-03-11 11:30:01
Время;Расход в линии 1, м3/мин;Давление в линии 1, кгс/см2;Давление в линии 2, кгс/см2;Давление затруба, кгс/см2;Объем жидкости 1, м3;Объем жидкости 2, м3;Температура жидкости, С;Расход в линии 2, м3/мин;Плотность жидкости, т/м3;Концентрация НД1, %;Объем НД1, л;Концентрация НД2, %;Объем НД2, л;Концентрация ДШ, %;Масса ДШ, кг;Расход НД1, л/ч;Расход НД2, л/ч;Расход ДШ, кг/ч;Этап;Метка
11.03.2020 11:30:02;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:03;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;636560905|Опрессовка 20 и еще какой то текст|False;
11.03.2020 11:30:04;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:05;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:06;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:07;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:08;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:09;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:10;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:11;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:12;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:13;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:14;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:15;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:16;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:17;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:18;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:19;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:20;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:21;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:22;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:23;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:24;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:25;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:26;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
11.03.2020 11:30:27;0;18,48498;-1;0;1105,53;0;29,25;-1;4956;0;0;0;0;0;0;0;0;0;
